gene_symbol,n_features,features,n_feature_IDs,n_omes,omes,n_tissues,tissues
Ago3,2,TRNSCRPT;KIDNEY;ENSRNOG00000034269|PROT;LIVER;XP_008762246.1,2,2,"PROT,TRNSCRPT",2,"KIDNEY,LIVER"
Ces2c,2,TRNSCRPT;WAT-SC;ENSRNOG00000036571|PROT;LIVER;NP_598270.1,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
Mrpl12,3,TRNSCRPT;WAT-SC;ENSRNOG00000036695|PROT;SKM-GN;NP_001025071.1|PROT;WAT-SC;NP_001025071.1,2,2,"PROT,TRNSCRPT",2,"SKM-GN,WAT-SC"
Actg1,4,TRNSCRPT;LUNG;ENSRNOG00000036701|TRNSCRPT;LUNG;ENSRNOG00000053452|METHYL;SKM-GN;chr10-219046_cluster15|ATAC;SKM-GN;chr10:109521578-109523466,4,3,"ATAC,METHYL,TRNSCRPT",2,"LUNG,SKM-GN"
LOC100361457,4,TRNSCRPT;LUNG;ENSRNOG00000036701|TRNSCRPT;LUNG;ENSRNOG00000053452|METHYL;SKM-GN;chr10-219046_cluster15|ATAC;SKM-GN;chr10:109521578-109523466,4,3,"ATAC,METHYL,TRNSCRPT",2,"LUNG,SKM-GN"
Spn,2,TRNSCRPT;LUNG;ENSRNOG00000036711|TRNSCRPT;WAT-SC;ENSRNOG00000036711,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Wls,2,TRNSCRPT;HEART;ENSRNOG00000036816|PROT;SKM-GN;NP_001078822.1,2,2,"PROT,TRNSCRPT",2,"HEART,SKM-GN"
Nckap1l,2,TRNSCRPT;LUNG;ENSRNOG00000036829|TRNSCRPT;WAT-SC;ENSRNOG00000036829,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Adap2,2,TRNSCRPT;WAT-SC;ENSRNOG00000037148|PROT;LIVER;NP_064486.1,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
Ulk1,2,TRNSCRPT;HEART;ENSRNOG00000037505|PHOSPHO;LUNG;NP_001101811.1_S560s,2,2,"PHOSPHO,TRNSCRPT",2,"HEART,LUNG"
Kdm6b,2,TRNSCRPT;HEART;ENSRNOG00000037613|ATAC;LIVER;chr10:56010382-56011847,2,2,"ATAC,TRNSCRPT",2,"HEART,LIVER"
LOC498555,2,TRNSCRPT;HEART;ENSRNOG00000038074|TRNSCRPT;KIDNEY;ENSRNOG00000038074,1,1,TRNSCRPT,2,"HEART,KIDNEY"
RGD1565617,4,TRNSCRPT;LUNG;ENSRNOG00000038254|TRNSCRPT;LUNG;ENSRNOG00000047836|PROT;LUNG;XP_002729496.2|PROT;LIVER;XP_002729496.2,3,2,"PROT,TRNSCRPT",2,"LIVER,LUNG"
Slamf6,2,TRNSCRPT;LUNG;ENSRNOG00000038286|TRNSCRPT;WAT-SC;ENSRNOG00000038286,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
AABR07034632.1,9,TRNSCRPT;LUNG;ENSRNOG00000038370|ATAC;LIVER;chr11:81708593-81708928|ATAC;LIVER;chr11:81708972-81709386|ATAC;LIVER;chr11:81709624-81709872|ATAC;LIVER;chr11:81709939-81710151|ATAC;LIVER;chr11:81710263-81710497|ATAC;LIVER;chr11:81710527-81710813|ATAC;LIVER;chr11:81710923-81711217|ATAC;LIVER;chr11:81711446-81712496,9,2,"ATAC,TRNSCRPT",2,"LIVER,LUNG"
Ndufs2,2,TRNSCRPT;WAT-SC;ENSRNOG00000038372|PROT;SKM-GN;NP_001011907.1,2,2,"PROT,TRNSCRPT",2,"SKM-GN,WAT-SC"
RGD1307100,2,TRNSCRPT;LIVER;ENSRNOG00000038436|TRNSCRPT;WAT-SC;ENSRNOG00000038436,1,1,TRNSCRPT,2,"LIVER,WAT-SC"
LOC103694328,2,TRNSCRPT;LIVER;ENSRNOG00000038766|TRNSCRPT;WAT-SC;ENSRNOG00000038766,1,1,TRNSCRPT,2,"LIVER,WAT-SC"
Hcls1,3,TRNSCRPT;LUNG;ENSRNOG00000038881|TRNSCRPT;WAT-SC;ENSRNOG00000038881|PROT;LUNG;NP_001011898.1,2,2,"PROT,TRNSCRPT",2,"LUNG,WAT-SC"
RT1-A1,2,TRNSCRPT;LUNG;ENSRNOG00000038999|TRNSCRPT;WAT-SC;ENSRNOG00000038999,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Omd,2,TRNSCRPT;LUNG;ENSRNOG00000039560|TRNSCRPT;WAT-SC;ENSRNOG00000039560,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
LOC681410,3,TRNSCRPT;HEART;ENSRNOG00000039876|PROT;HEART;XP_003751688.1|PROT;WAT-SC;XP_003751688.1,2,2,"PROT,TRNSCRPT",2,"HEART,WAT-SC"
Lbh,2,TRNSCRPT;HEART;ENSRNOG00000039902|TRNSCRPT;LUNG;ENSRNOG00000039902,1,1,TRNSCRPT,2,"HEART,LUNG"
Acsm1,2,TRNSCRPT;WAT-SC;ENSRNOG00000042084|PROT;KIDNEY;NP_001101972.2,2,2,"PROT,TRNSCRPT",2,"KIDNEY,WAT-SC"
Acsm2,2,TRNSCRPT;WAT-SC;ENSRNOG00000042084|PROT;LIVER;NP_653349.1,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
Fbxo31,2,TRNSCRPT;HEART;ENSRNOG00000042274|TRNSCRPT;LIVER;ENSRNOG00000042274,1,1,TRNSCRPT,2,"HEART,LIVER"
Rps6ka1,2,TRNSCRPT;LUNG;ENSRNOG00000042411|PHOSPHO;LIVER;NP_112369.1_S380s,2,2,"PHOSPHO,TRNSCRPT",2,"LIVER,LUNG"
Tlr12,2,TRNSCRPT;LUNG;ENSRNOG00000042455|TRNSCRPT;WAT-SC;ENSRNOG00000042455,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Pde4d,2,TRNSCRPT;SKM-GN;ENSRNOG00000042536|PHOSPHO;HEART;NP_001106805.1_S30s,2,2,"PHOSPHO,TRNSCRPT",2,"HEART,SKM-GN"
Msrb3,2,TRNSCRPT;HEART;ENSRNOG00000042668|PROT;WAT-SC;XP_001055430.4,2,2,"PROT,TRNSCRPT",2,"HEART,WAT-SC"
Mrpl28,2,TRNSCRPT;WAT-SC;ENSRNOG00000042720|PROT;SKM-GN;XP_001061401.2,2,2,"PROT,TRNSCRPT",2,"SKM-GN,WAT-SC"
Rgcc,2,TRNSCRPT;KIDNEY;ENSRNOG00000042960|PHOSPHO;HEART;NP_446460.1_S75s,2,2,"PHOSPHO,TRNSCRPT",2,"HEART,KIDNEY"
Cnn2,2,TRNSCRPT;LUNG;ENSRNOG00000043044|PROT;HEART;XP_006241100.1,2,2,"PROT,TRNSCRPT",2,"HEART,LUNG"
Rpl39,3,TRNSCRPT;SKM-GN;ENSRNOG00000043348|TRNSCRPT;HEART;ENSRNOG00000043348|ATAC;SKM-GN;chr7:36347584-36347931,2,2,"ATAC,TRNSCRPT",2,"HEART,SKM-GN"
LOC103694404,3,TRNSCRPT;SKM-GN;ENSRNOG00000043348|TRNSCRPT;HEART;ENSRNOG00000043348|ATAC;SKM-GN;chr7:36347584-36347931,2,2,"ATAC,TRNSCRPT",2,"HEART,SKM-GN"
LOC103692785,3,TRNSCRPT;SKM-GN;ENSRNOG00000043348|TRNSCRPT;HEART;ENSRNOG00000043348|ATAC;SKM-GN;chr7:36347584-36347931,2,2,"ATAC,TRNSCRPT",2,"HEART,SKM-GN"
LOC103694169,3,TRNSCRPT;SKM-GN;ENSRNOG00000043348|TRNSCRPT;HEART;ENSRNOG00000043348|ATAC;SKM-GN;chr7:36347584-36347931,2,2,"ATAC,TRNSCRPT",2,"HEART,SKM-GN"
LOC103693375,3,TRNSCRPT;SKM-GN;ENSRNOG00000043348|TRNSCRPT;HEART;ENSRNOG00000043348|ATAC;SKM-GN;chr7:36347584-36347931,2,2,"ATAC,TRNSCRPT",2,"HEART,SKM-GN"
LOC103690821,3,TRNSCRPT;SKM-GN;ENSRNOG00000043348|TRNSCRPT;HEART;ENSRNOG00000043348|ATAC;SKM-GN;chr7:36347584-36347931,2,2,"ATAC,TRNSCRPT",2,"HEART,SKM-GN"
LOC103692831,3,TRNSCRPT;SKM-GN;ENSRNOG00000043348|TRNSCRPT;HEART;ENSRNOG00000043348|ATAC;SKM-GN;chr7:36347584-36347931,2,2,"ATAC,TRNSCRPT",2,"HEART,SKM-GN"
Cpe,2,TRNSCRPT;LUNG;ENSRNOG00000043387|TRNSCRPT;WAT-SC;ENSRNOG00000043387,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Micu1,2,TRNSCRPT;LUNG;ENSRNOG00000043436|TRNSCRPT;WAT-SC;ENSRNOG00000043436,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Arc,2,TRNSCRPT;KIDNEY;ENSRNOG00000043465|TRNSCRPT;WAT-SC;ENSRNOG00000043465,1,1,TRNSCRPT,2,"KIDNEY,WAT-SC"
Amigo1,2,TRNSCRPT;SKM-GN;ENSRNOG00000045665|TRNSCRPT;HEART;ENSRNOG00000045665,1,1,TRNSCRPT,2,"HEART,SKM-GN"
Apoa1,2,TRNSCRPT;LIVER;ENSRNOG00000045679|TRNSCRPT;WAT-SC;ENSRNOG00000045679,1,1,TRNSCRPT,2,"LIVER,WAT-SC"
Ak4,3,TRNSCRPT;LIVER;ENSRNOG00000045738|PROT;LIVER;NP_058831.1|PROT;WAT-SC;NP_058831.1,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
Cldn5,2,TRNSCRPT;LUNG;ENSRNOG00000045811|TRNSCRPT;WAT-SC;ENSRNOG00000045811,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Slc41a3,3,TRNSCRPT;SKM-GN;ENSRNOG00000045821|TRNSCRPT;HEART;ENSRNOG00000045821|PROT;SKM-GN;XP_006236933.1,2,2,"PROT,TRNSCRPT",2,"HEART,SKM-GN"
Faahl,3,TRNSCRPT;WAT-SC;ENSRNOG00000045949|PHOSPHO;LIVER;NP_077046.1_S51s|PHOSPHO;LIVER;NP_077046.1_S92s,3,2,"PHOSPHO,TRNSCRPT",2,"LIVER,WAT-SC"
Dennd1c,3,TRNSCRPT;LUNG;ENSRNOG00000046050|TRNSCRPT;WAT-SC;ENSRNOG00000046050|PHOSPHO;LUNG;NP_001119761.1_S290s,2,2,"PHOSPHO,TRNSCRPT",2,"LUNG,WAT-SC"
AABR07035839.1,2,TRNSCRPT;SKM-GN;ENSRNOG00000046171|ATAC;LUNG;chr12:24593551-24595386,2,2,"ATAC,TRNSCRPT",2,"LUNG,SKM-GN"
Acp5,2,TRNSCRPT;LUNG;ENSRNOG00000046261|PROT;WAT-SC;NP_001257818.1,2,2,"PROT,TRNSCRPT",2,"LUNG,WAT-SC"
Tceal5,4,TRNSCRPT;SKM-GN;ENSRNOG00000046280|PROT;SKM-GN;NP_001316085.1|PHOSPHO;HEART;NP_001316085.1_S23s|PHOSPHO;SKM-GN;NP_001316085.1_S35s,4,3,"PHOSPHO,PROT,TRNSCRPT",2,"HEART,SKM-GN"
AABR07007032.1,3,TRNSCRPT;WAT-SC;ENSRNOG00000046333|ATAC;SKM-GN;chr1:277962404-277963105|ATAC;SKM-GN;chr1:277976963-277978351,3,2,"ATAC,TRNSCRPT",2,"SKM-GN,WAT-SC"
Rpn1,2,TRNSCRPT;LUNG;ENSRNOG00000046345|PHOSPHO;LIVER;NP_037199.2_S517s,2,2,"PHOSPHO,TRNSCRPT",2,"LIVER,LUNG"
Gpc6,2,TRNSCRPT;WAT-SC;ENSRNOG00000046660|ATAC;KIDNEY;chr15:102164789-102166423,2,2,"ATAC,TRNSCRPT",2,"KIDNEY,WAT-SC"
Mettl27,2,TRNSCRPT;WAT-SC;ENSRNOG00000046700|METHYL;LIVER;chr12-49552_cluster3,2,2,"METHYL,TRNSCRPT",2,"LIVER,WAT-SC"
Snx3,3,TRNSCRPT;KIDNEY;ENSRNOG00000046705|PROT;LIVER;NP_001037748.1|PHOSPHO;LIVER;NP_001037748.1_S72s,3,3,"PHOSPHO,PROT,TRNSCRPT",2,"KIDNEY,LIVER"
Kdr,2,TRNSCRPT;HEART;ENSRNOG00000046829|TRNSCRPT;WAT-SC;ENSRNOG00000046829,1,1,TRNSCRPT,2,"HEART,WAT-SC"
Kcnb1,2,TRNSCRPT;SKM-GN;ENSRNOG00000046949|TRNSCRPT;LIVER;ENSRNOG00000046949,1,1,TRNSCRPT,2,"LIVER,SKM-GN"
Tmco3,2,TRNSCRPT;SKM-GN;ENSRNOG00000046973|TRNSCRPT;HEART;ENSRNOG00000046973,1,1,TRNSCRPT,2,"HEART,SKM-GN"
Plin4,7,TRNSCRPT;SKM-GN;ENSRNOG00000047046|TRNSCRPT;HEART;ENSRNOG00000047046|PROT;SKM-GN;XP_006244434.1|PHOSPHO;SKM-GN;XP_006244434.1_S120s|PROT;HEART;XP_006244436.1|PHOSPHO;SKM-GN;XP_006244436.1_S120s|PHOSPHO;SKM-GN;XP_006244437.1_S120s,6,3,"PHOSPHO,PROT,TRNSCRPT",2,"HEART,SKM-GN"
LOC100362738,2,TRNSCRPT;HEART;ENSRNOG00000047276|TRNSCRPT;WAT-SC;ENSRNOG00000047276,1,1,TRNSCRPT,2,"HEART,WAT-SC"
Cntfr,3,TRNSCRPT;LUNG;ENSRNOG00000047307|PROT;SKM-GN;NP_001003929.1|PROT;LUNG;NP_001003929.1,2,2,"PROT,TRNSCRPT",2,"LUNG,SKM-GN"
Cox7a1,3,TRNSCRPT;SKM-GN;ENSRNOG00000047364|TRNSCRPT;SKM-GN;ENSRNOG00000050015|TRNSCRPT;HEART;ENSRNOG00000050015,2,1,TRNSCRPT,2,"HEART,SKM-GN"
Smg1,2,TRNSCRPT;KIDNEY;ENSRNOG00000047386|PHOSPHO;LIVER;XP_006223521.1_T3523tS3529s,2,2,"PHOSPHO,TRNSCRPT",2,"KIDNEY,LIVER"
AABR07058479.1,2,TRNSCRPT;LUNG;ENSRNOG00000047414|TRNSCRPT;WAT-SC;ENSRNOG00000047414,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
RGD1563231,3,TRNSCRPT;LUNG;ENSRNOG00000047571|PROT;KIDNEY;XP_002726144.3|PROT;LUNG;XP_002726144.3,2,2,"PROT,TRNSCRPT",2,"KIDNEY,LUNG"
Crybb1,3,TRNSCRPT;HEART;ENSRNOG00000047653|PROT;HEART;NP_037068.2|PROT;WAT-SC;NP_037068.2,2,2,"PROT,TRNSCRPT",2,"HEART,WAT-SC"
Ggt1,2,TRNSCRPT;WAT-SC;ENSRNOG00000047697|PROT;LIVER;NP_446292.2,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
Gng11,2,TRNSCRPT;WAT-SC;ENSRNOG00000047914|PROT;LUNG;NP_071791.1,2,2,"PROT,TRNSCRPT",2,"LUNG,WAT-SC"
Hspa1l,2,TRNSCRPT;SKM-GN;ENSRNOG00000047966|PROT;LIVER;NP_997711.1,2,2,"PROT,TRNSCRPT",2,"LIVER,SKM-GN"
Myo1b,5,TRNSCRPT;WAT-SC;ENSRNOG00000048152|PROT;WAT-SC;NP_446438.1|ATAC;LIVER;chr9:54557980-54558497|ATAC;LIVER;chr9:54613686-54614801|ATAC;LIVER;chr9:54635612-54636695,5,3,"ATAC,PROT,TRNSCRPT",2,"LIVER,WAT-SC"
AABR07051551.1,2,TRNSCRPT;LUNG;ENSRNOG00000048167|TRNSCRPT;WAT-SC;ENSRNOG00000048167,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
RGD1309350,2,TRNSCRPT;WAT-SC;ENSRNOG00000048275|ATAC;LIVER;chr1:213576970-213579199,2,2,"ATAC,TRNSCRPT",2,"LIVER,WAT-SC"
Pros1,2,TRNSCRPT;WAT-SC;ENSRNOG00000048723|PROT;LIVER;NP_112348.2,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
Gckr,4,TRNSCRPT;LIVER;ENSRNOG00000048874|PROT;LUNG;NP_037252.1|PROT;LIVER;NP_037252.1|PHOSPHO;LIVER;NP_037252.1_T13t,3,3,"PHOSPHO,PROT,TRNSCRPT",2,"LIVER,LUNG"
Islr,2,TRNSCRPT;LUNG;ENSRNOG00000048924|TRNSCRPT;WAT-SC;ENSRNOG00000048924,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Gng2,2,TRNSCRPT;LUNG;ENSRNOG00000048980|TRNSCRPT;WAT-SC;ENSRNOG00000048980,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Ahsa1,3,TRNSCRPT;LIVER;ENSRNOG00000048981|PROT;HEART;NP_001108506.1|PROT;LIVER;NP_001108506.1,2,2,"PROT,TRNSCRPT",2,"HEART,LIVER"
Fabp5,2,TRNSCRPT;LUNG;ENSRNOG00000049075|PROT;SKM-GN;NP_665885.1,2,2,"PROT,TRNSCRPT",2,"LUNG,SKM-GN"
Ccr5,2,TRNSCRPT;LUNG;ENSRNOG00000049115|TRNSCRPT;WAT-SC;ENSRNOG00000049115,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Gas7,2,TRNSCRPT;SKM-GN;ENSRNOG00000049361|TRNSCRPT;WAT-SC;ENSRNOG00000049361,1,1,TRNSCRPT,2,"SKM-GN,WAT-SC"
Adamtsl4,2,TRNSCRPT;HEART;ENSRNOG00000049385|TRNSCRPT;LUNG;ENSRNOG00000049385,1,1,TRNSCRPT,2,"HEART,LUNG"
Atp5f1e,2,TRNSCRPT;WAT-SC;ENSRNOG00000049912|PROT;SKM-GN;NP_620799.1,2,2,"PROT,TRNSCRPT",2,"SKM-GN,WAT-SC"
Pdxk,2,TRNSCRPT;KIDNEY;ENSRNOG00000049937|TRNSCRPT;WAT-SC;ENSRNOG00000049937,1,1,TRNSCRPT,2,"KIDNEY,WAT-SC"
RGD1564899,3,TRNSCRPT;HEART;ENSRNOG00000049942|PHOSPHO;SKM-GN;XP_006222177.1_S815s|PHOSPHO;SKM-GN;XP_006222177.1_S955s,3,2,"PHOSPHO,TRNSCRPT",2,"HEART,SKM-GN"
Zfp46,2,TRNSCRPT;SKM-GN;ENSRNOG00000049975|METHYL;WAT-SC;chr5-309285_cluster2,2,2,"METHYL,TRNSCRPT",2,"SKM-GN,WAT-SC"
Mcpt8,2,TRNSCRPT;WAT-SC;ENSRNOG00000049991|PROT;LIVER;NP_067609.1,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
LOC691603,2,TRNSCRPT;WAT-SC;ENSRNOG00000049991|PROT;LIVER;XP_003752850.1,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
LOC100912724,2,TRNSCRPT;WAT-SC;ENSRNOG00000049991|PROT;LIVER;XP_003752852.1,2,2,"PROT,TRNSCRPT",2,"LIVER,WAT-SC"
Mcpt10,2,TRNSCRPT;WAT-SC;ENSRNOG00000049991|PROT;LUNG;NP_058842.2,2,2,"PROT,TRNSCRPT",2,"LUNG,WAT-SC"
AABR07034739.1,2,TRNSCRPT;LUNG;ENSRNOG00000050000|TRNSCRPT;WAT-SC;ENSRNOG00000050000,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Eng,2,TRNSCRPT;HEART;ENSRNOG00000050190|ATAC;LUNG;chr3:11687817-11689527,2,2,"ATAC,TRNSCRPT",2,"HEART,LUNG"
Nrxn1,2,TRNSCRPT;LUNG;ENSRNOG00000050220|TRNSCRPT;WAT-SC;ENSRNOG00000050220,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Adgre4,2,TRNSCRPT;KIDNEY;ENSRNOG00000050325|TRNSCRPT;WAT-SC;ENSRNOG00000050325,1,1,TRNSCRPT,2,"KIDNEY,WAT-SC"
Bod1l1,2,TRNSCRPT;LUNG;ENSRNOG00000050437|PHOSPHO;HEART;XP_001060944.2_S1242s,2,2,"PHOSPHO,TRNSCRPT",2,"HEART,LUNG"
Ctsz,2,TRNSCRPT;LUNG;ENSRNOG00000050697|TRNSCRPT;WAT-SC;ENSRNOG00000050697,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Hnrnpc,2,TRNSCRPT;HEART;ENSRNOG00000050800|TRNSCRPT;LUNG;ENSRNOG00000050800,1,1,TRNSCRPT,2,"HEART,LUNG"
Mmut,2,TRNSCRPT;KIDNEY;ENSRNOG00000050843|PROT;SKM-GN;XP_001067239.4,2,2,"PROT,TRNSCRPT",2,"KIDNEY,SKM-GN"
Cfb,3,TRNSCRPT;LUNG;ENSRNOG00000051158|TRNSCRPT;WAT-SC;ENSRNOG00000051158|METHYL;WAT-SC;chr20-9084_cluster2,2,2,"METHYL,TRNSCRPT",2,"LUNG,WAT-SC"
Mphosph8,2,TRNSCRPT;HEART;ENSRNOG00000051238|TRNSCRPT;LUNG;ENSRNOG00000051238,1,1,TRNSCRPT,2,"HEART,LUNG"
Asb2,5,TRNSCRPT;SKM-GN;ENSRNOG00000051619|TRNSCRPT;HEART;ENSRNOG00000051619|PROT;SKM-GN;NP_001011984.1|PROT;HEART;NP_001011984.1|ATAC;SKM-GN;chr6:127232540-127233281,3,3,"ATAC,PROT,TRNSCRPT",2,"HEART,SKM-GN"
Enpep,2,TRNSCRPT;LUNG;ENSRNOG00000051854|TRNSCRPT;LIVER;ENSRNOG00000051854,1,1,TRNSCRPT,2,"LIVER,LUNG"
Ubap2,2,TRNSCRPT;LIVER;ENSRNOG00000052087|PROT;SKM-GN;XP_006238114.1,2,2,"PROT,TRNSCRPT",2,"LIVER,SKM-GN"
Gm2a,2,TRNSCRPT;LUNG;ENSRNOG00000052219|TRNSCRPT;WAT-SC;ENSRNOG00000052219,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Ndufa1,2,TRNSCRPT;SKM-GN;ENSRNOG00000052226|TRNSCRPT;WAT-SC;ENSRNOG00000052226,1,1,TRNSCRPT,2,"SKM-GN,WAT-SC"
Shank3,5,TRNSCRPT;LUNG;ENSRNOG00000052296|PHOSPHO;HEART;NP_067708.1_S1123s|PHOSPHO;HEART;NP_067708.1_S1167s|PHOSPHO;HEART;NP_067708.1_S366s|PHOSPHO;HEART;NP_067708.1_S790s,5,2,"PHOSPHO,TRNSCRPT",2,"HEART,LUNG"
Gpx3,2,TRNSCRPT;HEART;ENSRNOG00000052564|PROT;KIDNEY;NP_071970.2,2,2,"PROT,TRNSCRPT",2,"HEART,KIDNEY"
Cacna1a,2,TRNSCRPT;HEART;ENSRNOG00000052707|PHOSPHO;LIVER;NP_037050.2_S38sS53s,2,2,"PHOSPHO,TRNSCRPT",2,"HEART,LIVER"
Aldoa,2,TRNSCRPT;KIDNEY;ENSRNOG00000052802|PROT;HEART;NP_036627.1,2,2,"PROT,TRNSCRPT",2,"HEART,KIDNEY"
Top2a,2,TRNSCRPT;LUNG;ENSRNOG00000053047|TRNSCRPT;WAT-SC;ENSRNOG00000053047,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Cfi,2,TRNSCRPT;WAT-SC;ENSRNOG00000053400|PROT;HEART;NP_077071.1,2,2,"PROT,TRNSCRPT",2,"HEART,WAT-SC"
Ccpg1,2,TRNSCRPT;HEART;ENSRNOG00000053428|PROT;LIVER;XP_006243394.1,2,2,"PROT,TRNSCRPT",2,"HEART,LIVER"
Lama5,2,TRNSCRPT;LUNG;ENSRNOG00000053691|TRNSCRPT;WAT-SC;ENSRNOG00000053691,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
AABR07070307.1,2,TRNSCRPT;KIDNEY;ENSRNOG00000053753|TRNSCRPT;LUNG;ENSRNOG00000053753,1,1,TRNSCRPT,2,"KIDNEY,LUNG"
Myl6,2,TRNSCRPT;KIDNEY;ENSRNOG00000054140|ATAC;LUNG;chr7:2908215-2909681,2,2,"ATAC,TRNSCRPT",2,"KIDNEY,LUNG"
LOC685883,2,TRNSCRPT;KIDNEY;ENSRNOG00000054140|ATAC;LUNG;chr7:2908215-2909681,2,2,"ATAC,TRNSCRPT",2,"KIDNEY,LUNG"
Runx3,2,TRNSCRPT;LUNG;ENSRNOG00000054217|METHYL;LIVER;chr5-307019_cluster1,2,2,"METHYL,TRNSCRPT",2,"LIVER,LUNG"
Tspan11,2,TRNSCRPT;LUNG;ENSRNOG00000054360|TRNSCRPT;WAT-SC;ENSRNOG00000054360,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Lss,2,TRNSCRPT;LIVER;ENSRNOG00000054549|PROT;LUNG;NP_112311.1,2,2,"PROT,TRNSCRPT",2,"LIVER,LUNG"
Adcy6,3,TRNSCRPT;HEART;ENSRNOG00000054757|PROT;WAT-SC;NP_001257714.1|PROT;HEART;XP_017450158.1,3,2,"PROT,TRNSCRPT",2,"HEART,WAT-SC"
Flna,3,TRNSCRPT;HEART;ENSRNOG00000054890|TRNSCRPT;LUNG;ENSRNOG00000054890|PHOSPHO;HEART;XP_006229631.1_S2152sS2158s,2,2,"PHOSPHO,TRNSCRPT",2,"HEART,LUNG"
H1f2,4,TRNSCRPT;HEART;ENSRNOG00000054978|ATAC;LIVER;chr17:43637770-43638179|ATAC;LIVER;chr17:43638206-43638895|ATAC;LIVER;chr17:43638930-43640556,4,2,"ATAC,TRNSCRPT",2,"HEART,LIVER"
Aldh1a2,4,TRNSCRPT;SKM-GN;ENSRNOG00000055049|TRNSCRPT;WAT-SC;ENSRNOG00000055049|PROT;SKM-GN;NP_446348.2|PROT;WAT-SC;NP_446348.2,2,2,"PROT,TRNSCRPT",2,"SKM-GN,WAT-SC"
Cyp4b1,3,TRNSCRPT;LUNG;ENSRNOG00000055078|PROT;LUNG;NP_058695.2|PROT;WAT-SC;NP_058695.2,2,2,"PROT,TRNSCRPT",2,"LUNG,WAT-SC"
Lnpep,2,TRNSCRPT;WAT-SC;ENSRNOG00000055229|PROT;HEART;NP_001106874.1,2,2,"PROT,TRNSCRPT",2,"HEART,WAT-SC"
Edem1,5,TRNSCRPT;WAT-SC;ENSRNOG00000055365|ATAC;LIVER;chr4:140905807-140906675|ATAC;LIVER;chr4:140914197-140914806|ATAC;LIVER;chr4:140919109-140919856|ATAC;LIVER;chr4:140920591-140921334,5,2,"ATAC,TRNSCRPT",2,"LIVER,WAT-SC"
Ckmt2,9,TRNSCRPT;SKM-GN;ENSRNOG00000055450|TRNSCRPT;HEART;ENSRNOG00000055450|PROT;SKM-GN;NP_001121124.1|PROT;HEART;NP_001121124.1|PHOSPHO;SKM-GN;NP_001121124.1_S233s|PHOSPHO;SKM-GN;NP_001121124.1_S319s|PHOSPHO;SKM-GN;NP_001121124.1_T69t|PHOSPHO;SKM-GN;NP_001121124.1_Y208y|ATAC;SKM-GN;chr2:21451679-21451982,7,4,"ATAC,PHOSPHO,PROT,TRNSCRPT",2,"HEART,SKM-GN"
Pou2f2,2,TRNSCRPT;LUNG;ENSRNOG00000055650|TRNSCRPT;WAT-SC;ENSRNOG00000055650,1,1,TRNSCRPT,2,"LUNG,WAT-SC"
Arl8b,2,TRNSCRPT;HEART;ENSRNOG00000055860|TRNSCRPT;LUNG;ENSRNOG00000055860,1,1,TRNSCRPT,2,"HEART,LUNG"
Casp7,2,TRNSCRPT;HEART;ENSRNOG00000056216|PROT;SKM-GN;NP_071596.1,2,2,"PROT,TRNSCRPT",2,"HEART,SKM-GN"
Gls,2,TRNSCRPT;WAT-SC;ENSRNOG00000056246|PROT;HEART;NP_036701.2,2,2,"PROT,TRNSCRPT",2,"HEART,WAT-SC"
Oxr1,4,TRNSCRPT;HEART;ENSRNOG00000056487|PROT;HEART;NP_001184836.1|PHOSPHO;LIVER;NP_001184836.1_S495s|ATAC;LIVER;chr7:80351293-80353038,4,4,"ATAC,PHOSPHO,PROT,TRNSCRPT",2,"HEART,LIVER"
